Name,Role,Price,Country,Team
Shubman Gill,Batsman,80000000,India,GT
Sai Sudarshan,Batsman,2000000,India,GT
Abhinav Sadarangani,Batsman,26000000,India,GT
Jason Roy,Batsman,20000000,England,GT
David Miller,Batsman,30000000,South Africa,GT
Matthew Wade,WK-Batsman,24000000,Australia,GT
Wriddhiman Saha,WK-Batsman,19000000,India,GT
Rashid Khan,Bowler,150000000,Afghanistan,GT
Varun Aaron,Bowler,5000000,India,GT
Darshan Nalkande,Bowler,2000000,India,GT
Yash Dayal,Bowler,32000000,India,GT
Pradeep Sangwan,Bowler,2000000,India,GT
Alzarri Joseph,Bowler,24000000,West Indies,GT
R Sai Kishore,Bowler,30000000,India,GT
Noor Ahmad,Bowler,3000000,Afghanistan,GT
Lockie Ferguson,Bowler,100000000,New Zealand,GT
Mohammed Shami,Bowler,62500000,India,GT
Hardik Pandya,All-rounder,150000000,India,GT
Dominic Drakes,All-rounder,11000000,West Indies,GT
Vijay Shankar,All-rounder,14000000,India,GT
Jayant Yadav,All-rounder,17000000,India,GT
Gurkeerat Singh Mann,All-rounder,5000000,India,GT
Rahul Tewatia,All-rounder,90000000,India,GT
MS Dhoni,WK-Batsman,120000000,India,CSK
Ruturaj Gaikwad,Batsman,60000000,India,CSK
Robin Uthappa,Batsman,20000000,India,CSK
Ambati Rayudu,WK-Batsman,67500000,India,CSK
Devon Conway,Batsman,10000000,New Zealand,CSK
Subhranshu Senapati,Batsman,2000000,India,CSK
Hari Nishaanth,Batsman,2000000,India,CSK
N Jagadeesan,WK-Batsman,2000000,India,CSK
Deepak Chahar,Bowler,140000000,India,CSK
KM Asif,Bowler,2000000,India,CSK
Tushar Deshpande,Bowler,2000000,India,CSK
Maheesh Theekshana,Bowler,7000000,Sri Lanka,CSK
Simranjeet Singh,Bowler,2000000,India,CSK
Adam Milne,Bowler,19000000,New Zealand,CSK
Mukesh Choudhary,Bowler,2000000,India,CSK
Prashant Solanki,Bowler,12000000,India,CSK
Mitchell Santner,Bowler,19000000,New Zealand,CSK
Rajvardhan Hangargekar,Bowler,15000000,India,CSK
Ravindra Jadeja,All-rounder,160000000,India,CSK
Moeen Ali,All-rounder,80000000,England,CSK
Dwayne Bravo,All-rounder,44000000,West Indies,CSK
Shivam Dube,All-rounder,40000000,India,CSK
Dwaine Pretorius,All-rounder,5000000,South Africa,CSK
Bhagath Varma,All-rounder,2000000,India,CSK
Chris Jordan,All-rounder,36000000,England,CSK
Rishabh Panty,WK-Batsman,160000000,India,DC
Prithvi Shaw,Batsman,75000000,India,DC
David Warner,Batsman,62500000,Australia,DC
Ashwin Hebbar,Batsman,2000000,India,DC
Sarfaraz Khan,Batsman,2000000,India,DC
KS Bharat˜,WK-Batsman,20000000,India,DC
Yash Dhull,Batsman,5000000,India,DC
Mandeep Singh,Batsman,11000000,India,DC
Rovman Powell,Batsman,28000000,West Indies,DC
Tim Seifert,WK-Batsman,5000000,New Zealand,DC
Anrich Nortje,Bowler,65000000,South Africa,DC
Shardul Thakur,Bowler,107500000,India,DC
Kamlesh Nagarkoti,Bowler,11000000,India,DC
Mustafizur Rahman,Bowler,20000000,Bangladesh,DC
Lungi Ngidi,Bowler,5000000,South Africa,DC
Khaleel Ahmed,Bowler,52500000,India,DC
Chetan Sakariya,Bowler,42000000,India,DC
Praveen Dubey,Bowler,5000000,India,DC
Kuldeep Yadav,Bowler,20000000,India,DC
Axar Patel,All-rounder,90000000,India,DC
Mitchell Marsh,All-rounder,65000000,Australia,DC
Lalit Yadav,All-rounder,6500000,India,DC
Ripal Patel,All-rounder,2000000,India,DC
Vicky Ostwal,All-rounder,2000000,India,DC
Shreyas Iyer,Batsman,122500000,India,KKR
Nitish Rana,Batsman,80000000,India,KKR
Ajinkya Rahane,Batsman,10000000,India,KKR
Rinku Singh,Batsman,5500000,India,KKR
Abhijeet Tomar,Batsman,4000000,India,KKR
Pratham Singh,Batsman,2000000,India,KKR
Alex Hales,Batsman,15000000,England,KKR
Ramesh Kumar,Batsman,2000000,India,KKR
Sheldon Jackson,WK-Batsman,6000000,India,KKR
Sam Billings,WK-Batsman,20000000,England,KKR
Baba Indrajith,Batsman,2000000,India,KKR
Varun Chakravarty,Bowler,80000000,India,KKR
Pat Cummins,Bowler,72500000,Australia,KKR
Rasikh Dar,Bowler,2000000,India,KKR
Ashok Sharma,Bowler,5500000,India,KKR
Tim Southee,Bowler,15000000,New Zealand,KKR
Umesh Yadav,Bowler,20000000,India,KKR
Chamika Karunaratne,Bowler,5000000,Sri Lanka,KKR
Shivam Mavi,Bowler,72500000,India,KKR
Andre Russell,All-rounder,120000000,West Indies,KKR
Venkatesh Iyer,All-rounder,80000000,India,KKR
Sunil Narine,All-rounder,60000000,West Indies,KKR
Anukul Roy,All-rounder,2000000,India,KKR
Nitish Rana,All-rounder,80000000,India,KKR
Mohammad Nabi,All-rounder,10000000,Afghanistan,KKR
Manan Vohra,Batsman,2000000,India,LSG
Evin Lewis,Batsman,20000000,West Indies,LSG
Manish Pandey,Batsman,46000000,India,LSG
KL Rahul,WK-Batsman,170000000,India,LSG
Quinton de Kock,WK-Batsman,67500000,South Africa,LSG
Ravi Bishnoi,Bowler,40000000,India,LSG
Dushmantha Chameera,Bowler,20000000,Sri Lanka,LSG
Shahbaz Nadeem,Bowler,5000000,India,LSG
Mohsin Khan,Bowler,2000000,India,LSG
Mayank Yadav,Bowler,2000000,India,LSG
Ankit Rajpoot,Bowler,5000000,India,LSG
Avesh Khan,Bowler,100000000,India,LSG
Mark Wood,Bowler,75000000,England,LSG
Marcus Stoinis,All-rounder,92000000,Australia,LSG
Kyle Mayers,All-rounder,5000000,West Indies,LSG
Karan Sharma,All-rounder,2000000,India,LSG
